,player_name,firstname,surname,firstname_lower,surname_lower,firstname_upper,surname_upper
498,Marcos Rojo,Marcos,Rojo,marcos,rojo,MARCOS,ROJO
499,Marcus Rashford,Marcus,Rashford,marcus,rashford,MARCUS,RASHFORD
500,Marvelous Nakamba,Marvelous,Nakamba,marvelous,nakamba,MARVELOUS,NAKAMBA
501,Mason Greenwood,Mason,Greenwood,mason,greenwood,MASON,GREENWOOD
502,Matej Vydra,Matej,Vydra,matej,vydra,MATEJ,VYDRA
503,Mateusz Bogusz,Mateusz,Bogusz,mateusz,bogusz,MATEUSZ,BOGUSZ
504,Matthew Cash,Matthew,Cash,matthew,cash,MATTHEW,CASH
505,Matthew Lowton,Matthew,Lowton,matthew,lowton,MATTHEW,LOWTON
506,Matt Targett,Matt,Targett,matt,targett,MATT,TARGETT
507,Mbwana Samatta,Mbwana,Samatta,mbwana,samatta,MBWANA,SAMATTA
508,Nathan Aké,Nathan,Aké,nathan,aké,NATHAN,AKÉ
509,Neil Taylor,Neil,Taylor,neil,taylor,NEIL,TAYLOR
510,Nemanja Matic,Nemanja,Matic,nemanja,matic,NEMANJA,MATIC
511,Nick Pope,Nick,Pope,nick,pope,NICK,POPE
512,Nicolás Otamendi,Nicolás,Otamendi,nicolás,otamendi,NICOLÁS,OTAMENDI
513,Odion Ighalo,Odion,Ighalo,odion,ighalo,ODION,IGHALO
514,Oleksandr Zinchenko,Oleksandr,Zinchenko,oleksandr,zinchenko,OLEKSANDR,ZINCHENKO
515,Ollie Watkins,Ollie,Watkins,ollie,watkins,OLLIE,WATKINS
516,Paul Pogba,Paul,Pogba,paul,pogba,PAUL,POGBA
517,Phil Bardsley,Phil,Bardsley,phil,bardsley,PHIL,BARDSLEY
518,Phil Foden,Phil,Foden,phil,foden,PHIL,FODEN
519,Phil Jones,Phil,Jones,phil,jones,PHIL,JONES
520,Raheem Sterling,Raheem,Sterling,raheem,sterling,RAHEEM,STERLING
521,Riyad Mahrez,Riyad,Mahrez,riyad,mahrez,RIYAD,MAHREZ
522,Robbie Brady,Robbie,Brady,robbie,brady,ROBBIE,BRADY
523,Rodrigo Hernandez,Rodrigo,Hernandez,rodrigo,hernandez,RODRIGO,HERNANDEZ
524,Ryan Inniss,Ryan,Inniss,ryan,inniss,RYAN,INNISS
525,Scott McTominay,Scott,McTominay,scott,mctominay,SCOTT,MCTOMINAY
526,Sergio Agüero,Sergio,Agüero,sergio,agüero,SERGIO,AGÜERO
527,Sergio Romero,Sergio,Romero,sergio,romero,SERGIO,ROMERO
528,Tahith Chong,Tahith,Chong,tahith,chong,TAHITH,CHONG
529,Teden Mengi,Teden,Mengi,teden,mengi,TEDEN,MENGI
530,Thiago Alcántara do Nascimento,Thiago,Alcántara,thiago,alcántara,THIAGO,ALCÁNTARA
531,Timothy Fosu-Mensah,Timothy,Fosu-Mensah,timothy,fosu-mensah,TIMOTHY,FOSU-MENSAH
532,Tommy Doyle,Tommy,Doyle,tommy,doyle,TOMMY,DOYLE
533,Tom Heaton,Tom,Heaton,tom,heaton,TOM,HEATON
534,Tyrone Mings,Tyrone,Mings,tyrone,mings,TYRONE,MINGS
535,Victor Lindelöf,Victor,Lindelöf,victor,lindelöf,VICTOR,LINDELÖF
536,Wesley Moraes,Wesley,Moraes,wesley,moraes,WESLEY,MORAES
537,Zack Steffen,Zack,Steffen,zack,steffen,ZACK,STEFFEN
538,Ørjan Nyland,Ørjan,Nyland,ørjan,nyland,ØRJAN,NYLAND
539,Bertrand Traoré,Bertrand,Traoré,bertrand,traoré,BERTRAND,TRAORÉ
540,Cengiz Ünder,Cengiz,Ünder,cengiz,ünder,CENGIZ,ÜNDER
541,Cole Palmer,Cole,Palmer,cole,palmer,COLE,PALMER
542,Conor Gallagher,Conor,Gallagher,conor,gallagher,CONOR,GALLAGHER
543,Diego Llorente,Diego,Llorente,diego,llorente,DIEGO,LLORENTE
544,Edouard Mendy,Edouard,Mendy,edouard,mendy,EDOUARD,MENDY
545,Gareth Bale,Gareth,Bale,gareth,bale,GARETH,BALE
546,Jacob Ramsey,Jacob,Ramsey,jacob,ramsey,JACOB,RAMSEY
547,Jayson Molumby,Jayson,Molumby,jayson,molumby,JAYSON,MOLUMBY
548,Ki-Jana Hoever,Ki-Jana,Hoever,ki-jana,hoever,KI-JANA,HOEVER
549,Mace Goodridge,Mace,Goodridge,mace,goodridge,MACE,GOODRIDGE
550,Meritan Shabani,Meritan,Shabani,meritan,shabani,MERITAN,SHABANI
551,Nélson Cabral Semedo,Nélson,Cabral,nélson,cabral,NÉLSON,CABRAL
552,Rúnar Alex Rúnarsson,Rúnar,Alex,rúnar,alex,RÚNAR,ALEX
553,Sergio Reguilón,Sergio,Reguilón,sergio,reguilón,SERGIO,REGUILÓN
554,Ademola Lookman,Ademola,Lookman,ademola,lookman,ADEMOLA,LOOKMAN
555,Caoimhin Kelleher,Caoimhin,Kelleher,caoimhin,kelleher,CAOIMHIN,KELLEHER
556,Filip Krovinovic,Filip,Krovinovic,filip,krovinovic,FILIP,KROVINOVIC
557,Niels Nkounkou,Niels,Nkounkou,niels,nkounkou,NIELS,NKOUNKOU
558,Ola Aina,Ola,Aina,ola,aina,OLA,AINA
559,Rúben Santos Gato Alves Dias,Rúben,Santos,rúben,santos,RÚBEN,SANTOS
560,Vladimir Coufal,Vladimir,Coufal,vladimir,coufal,VLADIMIR,COUFAL
561,Wesley Fofana,Wesley,Fofana,wesley,fofana,WESLEY,FOFANA
562,Alex Nicolao Telles,Alex,Nicolao,alex,nicolao,ALEX,NICOLAO
563,Andi Zeqiri,Andi,Zeqiri,andi,zeqiri,ANDI,ZEQIRI
564,Ben Godfrey,Ben,Godfrey,ben,godfrey,BEN,GODFREY
565,Carlos Vinicius Alves Morais,Carlos,Vinicius,carlos,vinicius,CARLOS,VINICIUS
566,Craig Dawson,Craig,Dawson,craig,dawson,CRAIG,DAWSON
567,Edinson Cavani,Edinson,Cavani,edinson,cavani,EDINSON,CAVANI
568,Facundo Pellistri,Facundo,Pellistri,facundo,pellistri,FACUNDO,PELLISTRI
569,Ibrahima Diallo,Ibrahima,Diallo,ibrahima,diallo,IBRAHIMA,DIALLO
570,Islam Slimani,Islam,Slimani,islam,slimani,ISLAM,SLIMANI
571,Joachim Andersen,Joachim,Andersen,joachim,andersen,JOACHIM,ANDERSEN
572,Karlan Grant,Karlan,Grant,karlan,grant,KARLAN,GRANT
573,Michael Verrips,Michael,Verrips,michael,verrips,MICHAEL,VERRIPS
574,Nathaniel Clyne,Nathaniel,Clyne,nathaniel,clyne,NATHANIEL,CLYNE
575,Owen Otasowie,Owen,Otasowie,owen,otasowie,OWEN,OTASOWIE
576,Raphael Dias Belloli,Raphael,Dias,raphael,dias,RAPHAEL,DIAS
577,Rayan Ait Nouri,Rayan,Ait,rayan,ait,RAYAN,AIT
578,Robin Olsen,Robin,Olsen,robin,olsen,ROBIN,OLSEN
579,Stephen Henderson,Stephen,Henderson,stephen,henderson,STEPHEN,HENDERSON
580,Thomas Partey,Thomas,Partey,thomas,partey,THOMAS,PARTEY
581,Tosin Adarabioyo,Tosin,Adarabioyo,tosin,adarabioyo,TOSIN,ADARABIOYO
582,Will Norris,Will,Norris,will,norris,WILL,NORRIS
583,Danny Welbeck,Danny,Welbeck,danny,welbeck,DANNY,WELBECK
584,Nathaniel Phillips,Nathaniel,Phillips,nathaniel,phillips,NATHANIEL,PHILLIPS
585,Jack Butland,Jack,Butland,jack,butland,JACK,BUTLAND
586,Terence Kongolo,Terence,Kongolo,terence,kongolo,TERENCE,KONGOLO
587,Joe Rodon,Joe,Rodon,joe,rodon,JOE,RODON
588,Daniel N'Lundulu,Daniel,N'Lundulu,daniel,n'lundulu,DANIEL,N'LUNDULU
589,Saïd Benrahma,Saïd,Benrahma,saïd,benrahma,SAÏD,BENRAHMA
