,Round,Team 1,Team 2
136,14,Newcastle,Fulham
137,14,Southampton,Man City
138,14,Spurs,Leicester
139,14,West Brom,Aston Villa
140,15,Arsenal,Chelsea
141,15,Aston Villa,Crystal Palace
142,15,Fulham,Southampton
143,15,Leeds,Burnley
144,15,Leicester,Man Utd
145,15,Liverpool,West Brom
146,15,Man City,Newcastle
147,15,Sheffield Utd,Everton
148,15,West Ham,Brighton
149,15,Wolves,Spurs
150,16,Brighton,Arsenal
151,16,Burnley,Sheffield Utd
152,16,Chelsea,Aston Villa
153,16,Crystal Palace,Leicester
154,16,Everton,Man City
155,16,Man Utd,Wolves
156,16,Newcastle,Liverpool
157,16,Southampton,West Ham
158,16,Spurs,Fulham
159,16,West Brom,Leeds
160,17,Brighton,Wolves
161,17,Burnley,Fulham
162,17,Chelsea,Man City
163,17,Crystal Palace,Sheffield Utd
164,17,Everton,West Ham
165,17,Man Utd,Aston Villa
166,17,Newcastle,Leicester
167,17,Southampton,Liverpool
168,17,Spurs,Leeds
169,17,West Brom,Arsenal
170,18,Arsenal,Crystal Palace
171,18,Aston Villa,Spurs
172,18,Fulham,Man Utd
173,18,Leeds,Southampton
174,18,Leicester,Chelsea
175,18,Sheffield Utd,Newcastle
176,18,West Ham,West Brom
177,18,Wolves,Everton
178,18,Liverpool,Burnley
179,18,Man City,Brighton
180,19,Arsenal,Newcastle
181,19,Aston Villa,Everton
182,19,Fulham,Chelsea
183,19,Leeds,Brighton
184,19,Leicester,Southampton
185,19,Liverpool,Man Utd
186,19,Man City,Crystal Palace
187,19,Sheffield Utd,Spurs
188,19,West Ham,Burnley
189,19,Wolves,West Brom
190,20,Brighton,Fulham
191,20,Burnley,Aston Villa
192,20,Everton,Leicester
193,20,Man Utd,Sheffield Utd
194,20,West Brom,Man City
195,20,Chelsea,Wolves
196,20,Newcastle,Leeds
197,20,Southampton,Arsenal
198,20,Spurs,Liverpool
199,20,Crystal Palace,West Ham
200,21,Arsenal,Man Utd
201,21,Brighton,Spurs
202,21,Chelsea,Burnley
203,21,Crystal Palace,Wolves
204,21,Everton,Newcastle
205,21,Leicester,Leeds
206,21,Man City,Sheffield Utd
207,21,Southampton,Aston Villa
208,21,West Brom,Fulham
209,21,West Ham,Liverpool
210,22,Aston Villa,West Ham
211,22,Burnley,Man City
212,22,Fulham,Leicester
213,22,Leeds,Everton
214,22,Sheffield Utd,West Brom
215,22,Wolves,Arsenal
216,22,Man Utd,Southampton
217,22,Newcastle,Crystal Palace
218,22,Spurs,Chelsea
219,22,Liverpool,Brighton
220,23,Aston Villa,Arsenal
221,23,Burnley,Brighton
222,23,Fulham,West Ham
223,23,Leeds,Crystal Palace
224,23,Liverpool,Man City
225,23,Man Utd,Everton
226,23,Newcastle,Southampton
227,23,Sheffield Utd,Chelsea
228,23,Spurs,West Brom
229,23,Wolves,Leicester
230,24,Arsenal,Leeds
231,24,Brighton,Aston Villa
232,24,Chelsea,Newcastle
233,24,Crystal Palace,Burnley
234,24,Everton,Fulham
