,team_no,team
0,1,Arsenal
1,2,Aston Villa
2,3,Brighton
3,4,Burnley
4,5,Chelsea
5,6,Crystal Palace
6,7,Everton
7,8,Fulham
8,9,Leicester
9,10,Leeds
10,11,Liverpool
11,12,Man City
12,13,Man Utd
13,14,Newcastle
14,15,Sheffield Utd
15,16,Southampton
16,17,Spurs
17,18,West Brom
18,19,West Ham
19,20,Wolves
